Code;Bezeichnung;Niveau;Misc
29232;Fleischverarbeitung - Fachkraft;Fachkraefte;
29233;Fleischverarbeitung - Spezialist;Spezialisten;
2924;Berufe in der Fischverarbeitung;;
29242;Fischverarbeitung - Fachkraft;Fachkraefte;
29243;Fischverarbeitung - Spezialist;Spezialisten;
2925;Berufe in der Milchproduktherstellung;;
29252;Milchproduktherstellung - Fachkraft;Fachkraefte;
29253;Milchproduktherstellung - Spezialist;Spezialisten;
2926;Berufe in der Süßwarenherstellung;;
29262;Süßwarenherstellung - Fachkraft;Fachkraefte;
29263;Süßwarenherstellung - Spezialist;Spezialisten;
2927;Berufe in der Tabakwarenherstellung;;
29272;Tabakwarenherstellung - Fachkraft;Fachkraefte;
29273;Tabakwarenherstellung - Spezialist;Spezialisten;
2928;Berufe i.d.Lebensmittelherstellung (ssT);;
29282;Lebensmittelherstellung(ssT) - Fachkraft;Fachkraefte;
29283;Lebensmittelherstellung(ssT) -Spezialist;Spezialisten;
29284;Lebensmittelherstellung (ssT) - Experte;Experten;
2929;Aufsicht,Führung-Lebens-,Genussmittelher;;Aufsicht
29293;Aufsicht-Lebens-,Genussmittelherstellung;;Aufsicht
29294;Führung-Lebens-,Genussmittelherstellung;;Führung
293;Speisenzubereitung;;
2930;Köche/Köchinnen (o.S.);;
29301;Köche/Köchinnen (o.S.) - Helfer;Helfer;
29302;Köche/Köchinnen (o.S.) - Fachkraft;Fachkraefte;
2931;Vor-, Kalt- und Süßspeisenköche/innen;;
29312;Vor-, Kalt-, Süßspeisenköche - Fachkraft;Fachkraefte;
2932;Grill-, Braten- u. Fischköche/-köchinnen;;
29322;Grill-, Braten-, Fischköche - Fachkraft;Fachkraefte;
2938;Köche/Köchinnen (s.s.T.);;
29382;Köche/Köchinnen (s.s.T.) - Fachkraft;Fachkraefte;
2939;Aufsicht, Führung - Speisenzubereitung;;Aufsicht
29393;Aufsicht - Speisenzubereitung;;Aufsicht
29394;Führung - Speisenzubereitung;;Führung
3;Bau,Architektur,Vermessung,Gebäudetechn.;;
31;Bauplanung,Architektur,Vermessungsberufe;;
311;Bauplanung u. -überwachung, Architektur;;
3110;Berufe Bauplanung u. -überwachung (o.S.);;
31102;Bauplanung,-überwachung (oS)-Fachkraft;Fachkraefte;
31103;Bauplanung,-überwachung (oS)-Spezialist;Spezialisten;
31104;Bauplanung, -überwachung (oS) - Experte;Experten;
3111;Berufe in der Architektur;;
31114;Architektur - Experte;Experten;
3112;Berufe in der Stadt- und Raumplanung;;
31124;Stadt- und Raumplanung - Experte;Experten;
3113;Berufe Bauplanung Verkehrswege, -anlagen;;
31132;Bauplan. Verkehrswege,-anlagen-Fachkraft;Fachkraefte;
31133;Bauplan Verkehrswege,-anlagen-Spezialist;Spezialisten;
31134;Bauplan. Verkehrswege,-anlagen - Experte;Experten;
3114;Berufe in der Wasserwirtschaft;;
31142;Wasserwirtschaft - Fachkraft;Fachkraefte;
31143;Wasserwirtschaft - Spezialist;Spezialisten;
31144;Wasserwirtschaft - Experte;Experten;
3115;Berufe Bauwerkserhaltung und -erneuerung;;
31152;Bauwerkserhaltung,-erneuerung-Fachkraft;Fachkraefte;
31153;Bauwerkserhaltung,-erneuerung-Spezialist;Spezialisten;
31154;Bauwerkserhaltung,-erneuerung-Experte;Experten;
3116;Bausachverständige und Baukontrolleure;;
31163;Bausachverständ,-kontrolleure-Spezialist;Spezialisten;
31164;Bausachverständige,-kontrolleure-Experte;Experten;
3117;Berufe i.d. Bauabrechnung, -kalkulation;;
31173;Bauabrechnung,-kalkulation - Spezialist;Spezialisten;
31174;Bauabrechnung, -kalkulation - Experte;Experten;
3119;Aufsicht,Führung-Bauplan,-überw,Archit.;;Aufsicht
31193;Aufsicht-Bauplan.,-überwach.,Architektur;;Aufsicht
31194;Führung-Bauplan.,-überwach., Architektur;;Führung
312;Vermessung und Kartografie;;
3121;Berufe in der Vermessungstechnik;;
31212;Vermessungstechnik - Fachkraft;Fachkraefte;
31213;Vermessungstechnik - Spezialist;Spezialisten;
31214;Vermessungstechnik - Experte;Experten;
3122;Berufe in der Kartografie;;
31222;Kartografie - Fachkraft;Fachkraefte;
31223;Kartografie - Spezialist;Spezialisten;
31224;Kartografie - Experte;Experten;
32;Hoch- und Tiefbauberufe;;
321;Hochbau;;
3210;Berufe im Hochbau (o.S.);;
32101;Hochbau (o.S.) - Helfer;Helfer;
32102;Hochbau (o.S.) - Fachkraft;Fachkraefte;
32103;Hochbau (o.S.) - Spezialist;Spezialisten;
32104;Hochbau (o.S.) - Experte;Experten;
3211;Berufe im Beton- und Stahlbetonbau;;
32112;Beton- und Stahlbetonbau - Fachkraft;Fachkraefte;
32113;Beton- und Stahlbetonbau - Spezialist;Spezialisten;
3212;Berufe im Maurerhandwerk;;
32122;Maurerhandwerk - Fachkraft;Fachkraefte;
32123;Maurerhandwerk - Spezialist;Spezialisten;
3213;Berufe im Schornsteinbau;;
